CNPJ,RazaoSocial,Trimestre,Ano,ValorDespesas,Status
417173,REG_ANS_417173,1,2025,7152499444,72,OK
300870,REG_ANS_300870,1,2025,2392359968,50,OK
300870,REG_ANS_300870,2,2025,3634403610,12,OK
330108,REG_ANS_330108,1,2025,834466461,48,OK
330108,REG_ANS_330108,2,2025,869691953,94,OK
330108,REG_ANS_330108,3,2025,914703545,28,OK
417602,REG_ANS_417602,1,2025,99823195,38,OK
417602,REG_ANS_417602,2,2025,52462971,86,OK
370088,REG_ANS_370088,1,2025,616316305,68,OK
417602,REG_ANS_417602,3,2025,59119887,04,OK
370088,REG_ANS_370088,2,2025,613607759,36,OK
419125,REG_ANS_419125,3,2025,173009,70,OK
419125,REG_ANS_419125,2,2025,257417,28,OK
419125,REG_ANS_419125,1,2025,208547,74,OK
355721,REG_ANS_355721,1,2025,5720775825,02,OK
321931,REG_ANS_321931,3,2025,1356983956,32,OK
321931,REG_ANS_321931,2,2025,1608169733,68,OK
321931,REG_ANS_321931,1,2025,1437473683,10,OK
349712,REG_ANS_349712,2,2025,2524746004,36,OK
349712,REG_ANS_349712,1,2025,2507613171,42,OK
355721,REG_ANS_355721,2,2025,5277456038,48,OK
349712,REG_ANS_349712,3,2025,2751127968,56,OK
355721,REG_ANS_355721,3,2025,5231977893,02,OK
421197,REG_ANS_421197,1,2025,541055173,38,OK
421197,REG_ANS_421197,2,2025,1033187345,90,OK
324566,REG_ANS_324566,3,2025,766560204,14,OK
324566,REG_ANS_324566,2,2025,695473696,44,OK
330281,REG_ANS_330281,2,2025,306221252,58,OK
419052,REG_ANS_419052,3,2025,379016858,30,OK
324566,REG_ANS_324566,1,2025,683033104,10,OK
419052,REG_ANS_419052,2,2025,332497732,06,OK
330281,REG_ANS_330281,3,2025,375828382,48,OK
419052,REG_ANS_419052,1,2025,326443564,44,OK
331341,REG_ANS_331341,1,2025,1836729080,74,OK
417475,REG_ANS_417475,1,2025,106022161,46,OK
330281,REG_ANS_330281,1,2025,314109315,74,OK
417475,REG_ANS_417475,2,2025,90122376,40,OK
331341,REG_ANS_331341,3,2025,1536969987,14,OK
417475,REG_ANS_417475,3,2025,71691992,36,OK
421197,REG_ANS_421197,3,2025,579331892,12,OK
331341,REG_ANS_331341,2,2025,1439572629,56,OK
420158,REG_ANS_420158,3,2025,729615484,36,OK
420158,REG_ANS_420158,2,2025,666736594,02,OK
420158,REG_ANS_420158,1,2025,670911822,50,OK
424048,REG_ANS_424048,1,2025,34210350,96,OK
424048,REG_ANS_424048,2,2025,68460703,98,OK
424048,REG_ANS_424048,3,2025,80707932,28,OK
360449,REG_ANS_360449,3,2025,9992055371,96,OK
327417,REG_ANS_327417,3,2025,1487836758,44,OK
327417,REG_ANS_327417,1,2025,2707929590,66,OK
327417,REG_ANS_327417,2,2025,1575330080,06,OK
369411,REG_ANS_369411,3,2025,1439415097,74,OK
360449,REG_ANS_360449,1,2025,8980441237,46,OK
369411,REG_ANS_369411,2,2025,1800499662,48,OK
369411,REG_ANS_369411,1,2025,1540018800,64,OK
360449,REG_ANS_360449,2,2025,8742380573,64,OK
306398,REG_ANS_306398,2,2025,3603974853,78,OK
306398,REG_ANS_306398,3,2025,3759835229,18,OK
324159,REG_ANS_324159,1,2025,539314774,48,OK
423572,REG_ANS_423572,1,2025,19783862,48,OK
306398,REG_ANS_306398,1,2025,3927333863,24,OK
324159,REG_ANS_324159,2,2025,503452781,88,OK
324159,REG_ANS_324159,3,2025,524982905,52,OK
409286,REG_ANS_409286,1,2025,11000969,08,OK
420085,REG_ANS_420085,3,2025,138026796,42,OK
420085,REG_ANS_420085,2,2025,132858271,40,OK
420085,REG_ANS_420085,1,2025,196494175,80,OK
423572,REG_ANS_423572,3,2025,122742989,48,OK
423572,REG_ANS_423572,2,2025,72614170,96,OK
333051,REG_ANS_333051,2,2025,2367483468,54,OK
333051,REG_ANS_333051,3,2025,2240245496,50,OK
301060,REG_ANS_301060,3,2025,478635729,26,OK
301060,REG_ANS_301060,2,2025,531499512,30,OK
333051,REG_ANS_333051,1,2025,2269036227,62,OK
301060,REG_ANS_301060,1,2025,460375952,74,OK
420701,REG_ANS_420701,2,2025,171275087,24,OK
422827,REG_ANS_422827,1,2025,184679968,34,OK
420701,REG_ANS_420701,1,2025,178118775,22,OK
422827,REG_ANS_422827,2,2025,156936394,28,OK
422827,REG_ANS_422827,3,2025,177180933,44,OK
420701,REG_ANS_420701,3,2025,194364926,66,OK
311146,REG_ANS_311146,1,2025,503382679,14,OK
311146,REG_ANS_311146,2,2025,498942375,36,OK
319180,REG_ANS_319180,2,2025,336930269,42,OK
311146,REG_ANS_311146,3,2025,610445822,18,OK
319180,REG_ANS_319180,1,2025,337698841,02,OK
319180,REG_ANS_319180,3,2025,423807238,80,OK
313084,REG_ANS_313084,1,2025,321645610,58,OK
313084,REG_ANS_313084,2,2025,341337915,36,OK
304051,REG_ANS_304051,2,2025,939900542,46,OK
304051,REG_ANS_304051,3,2025,822973950,18,OK
313084,REG_ANS_313084,3,2025,335013067,08,OK
304051,REG_ANS_304051,1,2025,1129745874,32,OK
415944,REG_ANS_415944,3,2025,4894409,02,OK
415944,REG_ANS_415944,2,2025,5953178,24,OK
415944,REG_ANS_415944,1,2025,5180578,30,OK
359122,REG_ANS_359122,3,2025,613685033,42,OK
359122,REG_ANS_359122,2,2025,570026566,86,OK
359122,REG_ANS_359122,1,2025,631831834,68,OK
352683,REG_ANS_352683,1,2025,1967981354,94,OK
378216,REG_ANS_378216,1,2025,394084708,38,OK
417106,REG_ANS_417106,2,2025,43743130,70,OK
417106,REG_ANS_417106,3,2025,43202286,78,OK
352683,REG_ANS_352683,3,2025,1782184469,84,OK
417106,REG_ANS_417106,1,2025,36109459,68,OK
352683,REG_ANS_352683,2,2025,1988709372,34,OK
333689,REG_ANS_333689,3,2025,3988887632,10,OK
392804,REG_ANS_392804,1,2025,3157966315,32,OK
392804,REG_ANS_392804,2,2025,3803900356,82,OK
392804,REG_ANS_392804,3,2025,3074771745,04,OK
371254,REG_ANS_371254,3,2025,5912070139,34,OK
371254,REG_ANS_371254,1,2025,5909892039,48,OK
357391,REG_ANS_357391,3,2025,12630020711,96,OK
411752,REG_ANS_411752,3,2025,1244155888,64,OK
424161,REG_ANS_424161,3,2025,595771,80,OK
371254,REG_ANS_371254,2,2025,5680069828,58,OK
424161,REG_ANS_424161,1,2025,2821399,20,OK
357391,REG_ANS_357391,1,2025,15206493384,42,OK
357391,REG_ANS_357391,2,2025,14154850736,12,OK
424161,REG_ANS_424161,2,2025,716347,72,OK
